Identifier,GFZ Channel,Measure TD,Prediected TD
QS1P1,j100,3.6,1.5
QS1P1,j99,6.6,3.69
QS1P1,j96,3.4,1.4
QS1P1,j95,7.1,3.64
QS1P1,j94,5.9,2.78
QS1P1,j93,5.6,2.45
QS1P1,j92,4.5,1.63
QS1P1,j91,7.4,3.8
QS1P1,j90,5.9,3
QS1P1,j89,5.8,2.67
QS1P1,j88,4.4,1.92
QS1P1,j85,6.1,2.98
QS1P1,j84,4.9,2.25
QS1P1,j81,6.1,3.27
QS1P1,j80,5.5,2.58
QS1P1,j77,6.6,3.57
QS1P1,j76,5.9,2.91
QS1P1,j72,6.1,3.25
QS1P1,j68,6.8,3.58
QS1P2,j87,9.9,5.9
QS1P2,j86,10.5,6.25
QS1P2,j85,10.9,6.57
QS1P2,j84,11.3,6.93
QS1P2,j83,9.3,5.53
QS1P2,j79,8.8,5.17
QS1P2,j75,8.3,4.8
QS1P2,j71,7.7,4.43
QS1P2,j67,7.2,4.07
QS1P2,j63,6.7,3.7
QS1P2,j59,6.3,3.34
QS1P2,j55,5.7,2.98
QS1P3,j27,4.4,3.24
QS1P3,j31,3.7,2.64
QS1P3,j35,2.9,2.16
QS1P3,j39,5.3,3.8
QS1P3,j43,4.9,3.49
QS1P3,j47,4.6,3.26
QS1P3,j51,7,5.06
QS1P3,j55,6.7,4.83
QS1P3,j59,6.4,4.6
QS1P3,j63,8.9,6.4
QS1P3,j67,8.5,6.17
QS1P3,j71,8.3,5.95
QS2P1,j78,9.7,5.42
QS2P1,j77,7.9,4.15
QS2P1,j76,9.7,5.51
QS2P1,j75,7.8,3.96
QS2P1,j74,9.6,5.32
QS2P1,j73,7.6,3.81
QS2P1,j72,9.5,5.18
QS2P1,j71,7,3.65
QS2P1,j70,9,5.03
QS2P1,j69,6.6,3.53
QS2P1,j68,8.6,4.92
QS2P1,j67,6.6,3.42
QS2P4,j41,8.3,4.78
QS2P4,j45,9.9,5.74
QS2P4,j49,11,6.72
QS2P4,j53,6.6,3.43
QS2P4,j57,8.4,4.54
QS2P4,j61,9.6,5.67
QS2P4,j65,5.6,2.72
QS2P4,j69,7.8,4.2
QS2P4,j73,10.1,5.76
QS2P4,j77,5.9,3.06
QS2P4,j81,8.1,4.63
QS3P1,j96,11.6,5.66
QS3P1,j95,9.6,4.17
QS3P1,j94,10.9,5.56
QS3P1,j93,9.3,4.09
QS3P1,j92,10.4,5.49
QS3P1,j91,8.4,4.02
QS3P1,j90,10,5.43
QS3P1,j89,8.4,4
QS3P1,j88,9.8,5.43
QS3P1,j87,8.4,4
QS3P1,j86,9.6,5.45
QS3P1,j85,7.9,4.07
QS3P1,j84,9.8,5.54
QS3P1,j80,9.6,5.83
QS3P1,j76,9.6,6.27
QS3P2,j96,6.3,5.16
QS3P2,j95,8.5,6.48
QS3P2,j94,6.5,4.92
QS3P2,j93,8,6.26
QS3P2,j92,6.3,4.71
QS3P2,j91,8.3,6.03
QS3P2,j90,6.2,4.49
QS3P2,j89,7.9,5.86
QS3P2,j88,5.9,4.33
QS3P2,j87,7.9,5.7
QS3P2,j86,6,4.19
QS3P2,j85,8,5.6
QS3P2,j84,6.1,4.11
QS3P2,j80,6.5,4.07
QS3P2,j76,6.9,4.21
QS3P3,j100,8.7,5.89
QS3P3,j99,11,7.49
QS3P3,j98,6.6,4.04
QS3P3,j97,8.6,5.65
QS3P3,j96,11.2,7.24
QS3P3,j95,6.4,3.79
QS3P3,j94,8.5,5.38
QS3P3,j93,11,7.01
QS3P3,j92,6,3.57
QS3P3,j91,8.3,5.17
QS3P3,j90,10.9,6.79
QS3P3,j88,8.7,5.01
QS3P3,j86,6.3,3.24
QS3P3,j82,9.3,4.83
QS3P3,j78,12.3,6.52
QS3P3,j74,7.3,3.26
QS3P3,j70,10.6,5.07
QS3P4,j100,12.5,6.61
QS3P4,j99,9.8,4.89
QS3P4,j98,7.5,3.19
QS3P4,j97,11.6,6.55
QS3P4,j96,9.6,4.84
QS3P4,j95,6.6,3.13
QS3P4,j94,11.5,6.47
QS3P4,j93,8.9,4.79
QS3P4,j92,10.5,3.09
QS3P4,j91,11.1,6.44
QS3P4,j90,8.7,4.75
QS3P4,j89,6,3.09
QS3P4,j88,10.5,6.45
QS3P4,j86,5.7,3.11
QS3P4,j82,9.6,6.61
QS3P4,j78,7,5.17
QS3P4,j74,4.8,3.81
QS3P4,j70,9.4,7.54
