Channel,Perimeter,Length,,,,
1,2090.7,1022.65,,min,171.255,mm
2,1719.42,837.01,,max,1037.415,mm
3,1349.38,651.99,,,,
4,1201.14,577.87,,,,
5,831.26,392.93,,,,
6,436.22,195.41,,,,
7,2120.23,1037.415,,,,
8,1734.8,844.7,,,,
9,1354.04,654.32,,,,
10,1181.11,567.855,,,,
11,800.28,377.44,,,,
12,419.58,187.09,,,,
13,2022.9,988.75,,,,
14,1654.25,804.425,,,,
15,1289.28,621.94,,,,
16,1118.3,536.45,,,,
17,753.31,353.955,,,,
18,387.91,171.255,,,,
19,1974.8,964.7,,,,
20,1628.27,791.435,,,,
21,1283.48,619.04,,,,
22,1118.89,536.745,,,,
23,774.18,364.39,,,,
24,427.63,191.115,,,,
25,1952.83,953.715,,,,
26,1620.3,787.45,,,,
27,1289.37,621.985,,,,
28,1124.78,539.69,,,,
29,793.93,374.265,,,,
30,461.58,208.09,,,,
31,1930.87,942.735,,,,
32,1612.33,783.465,,,,
33,1295.27,624.935,,,,
34,1130.67,542.635,,,,
35,813.68,384.14,,,,
36,495.53,225.065,,,,
37,1908.9,931.75,,,,
38,1604.36,779.48,,,,
39,1301.16,627.88,,,,
40,1136.56,545.58,,,,
41,833.42,394.01,,,,
42,529.48,242.04,,,,
43,1886.94,920.77,,,,
44,1596.4,775.5,,,,
45,1307.05,630.825,,,,
46,1142.45,548.525,,,,
47,853.17,403.885,,,,
48,563.44,259.02,,,,
49,1864.98,909.79,,,,
50,1588.43,771.515,,,,
51,1312.94,633.77,,,,
52,1148.35,551.475,,,,
53,872.92,413.76,,,,
54,597.39,275.995,,,,
55,1843.01,898.805,,,,
56,1580.46,767.53,,,,
57,1318.83,636.715,,,,
58,1154.24,554.42,,,,
59,892.66,423.63,,,,
60,631.34,292.97,,,,
61,1821.05,887.825,,,,
62,1572.49,763.545,,,,
63,1324.73,639.665,,,,
64,1160.13,557.365,,,,
65,912.41,433.505,,,,
66,665.29,309.945,,,,
67,1799.09,876.845,,,,
68,1564.52,759.56,,,,
69,1330.62,642.61,,,,
70,1166.02,560.31,,,,
71,932.16,443.38,,,,
72,699.24,326.92,,,,
73,1777.12,865.86,,,,
74,1556.55,755.575,,,,
75,1336.51,645.555,,,,
76,1171.91,563.255,,,,
77,951.9,453.25,,,,
78,733.19,343.895,,,,
79,1755.16,854.88,,,,
80,1548.58,751.59,,,,
81,1342.4,648.5,,,,
82,1177.81,566.205,,,,
83,971.65,463.125,,,,
84,767.14,360.87,,,,
85,1733.2,843.9,,,,
86,1540.61,747.605,,,,
87,1348.29,651.445,,,,
88,1183.7,569.15,,,,
89,991.39,472.995,,,,
90,801.09,377.845,,,,
91,1711.23,832.915,,,,
92,1532.64,743.62,,,,
93,1354.19,654.395,,,,
94,1189.59,572.095,,,,
95,1011.14,482.87,,,,
96,835.04,394.82,,,,
97,1689.27,821.935,,,,
98,1524.67,739.635,,,,
99,1360.08,657.34,,,,
100,1195.48,575.04,,,,
101,1030.89,492.745,,,,
102,869,411.8,,,,
